City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
Alofi,NU,75.09,78,clear sky,-19.0595,-169.9187,Taloa Heights
Sidi Ali,DZ,57.24,52,scattered clouds,36.0998,0.4206,Khaled
Popondetta,PG,85.93,62,overcast clouds,-8.7537,148.2534,Timos Transit House
Ghanzi,BW,88.9,19,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
Saint-Pierre,RE,78.48,53,clear sky,-21.3393,55.4781,Alize Plage
Mahibadhoo,MV,80.76,78,overcast clouds,3.7833,72.9667,Omadhoo Inn
Victoria,HK,84.96,74,few clouds,22.2855,114.1577,Mini Central
Ramhormoz,IR,70.81,60,overcast clouds,31.28,49.6035,کافی نت کاریزما
Shetpe,KZ,52.59,52,clear sky,44.1667,52.1167,Нұрберген Абыл
Kainantu,PG,68.32,87,overcast clouds,-6.2887,145.8655,Sylvester buku
Sao Joao Da Barra,BR,64.15,83,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
Luanda,AO,77.0,83,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
San Isidro,PE,65.01,83,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
Maningrida,AU,89.64,57,light rain,-12.0667,134.2667,Dhukurrdji Lodge
Ureki,GE,62.56,61,overcast clouds,41.9956,41.7786,Hotel Ritsa
Vinh,VN,81.63,73,overcast clouds,18.6667,105.6667,Vuong Hoan 2
Baikunthpur,IN,73.67,29,few clouds,23.25,82.55,Hotel Shree Annapurna
Rabo De Peixe,PT,62.11,97,broken clouds,37.8,-25.5833,Quinta das Giestas
Coos Bay,US,43.99,87,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
Potiskum,NG,71.49,25,clear sky,11.7091,11.0694,Tamir Hotel Ltd
Laguna,US,51.78,50,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
Riyadh,SA,66.34,67,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
Robertsport,LR,75.97,85,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
Sao Filipe,CV,77.56,69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Port Moresby,PG,89.02,66,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
Naze,JP,76.12,84,overcast clouds,28.3667,129.4833,Shishime Hotel
Marsh Harbour,BS,74.91,70,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
Muros,ES,47.08,96,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Karoi,ZW,81.5,23,clear sky,-16.8099,29.6925,Chikangwe Guest houses
Kangaba,ML,66.94,31,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
Urucui,BR,71.96,90,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
Russell,US,41.0,93,clear sky,32.3502,-85.1999,Macs
Satipo,PE,69.84,74,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
Joshimath,IN,64.26,25,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
Banon,ES,49.26,46,clear sky,40.8382,-1.1909,Carlos García
Leua,SK,35.49,75,scattered clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
Mehamn,NO,37.35,44,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
Tezu,IN,80.76,26,clear sky,27.9167,96.1667,Circuit House
Buchanan,LR,75.47,87,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
Qui Nhon,VN,75.99,92,overcast clouds,13.7667,109.2333,Seagull Hotel
Isabela,PH,80.65,81,overcast clouds,6.7085,121.9711,Isawad Resort
Tabou,CI,77.41,82,light rain,4.423,-7.3528,hotêl doufoulougou
Hirara,JP,80.46,73,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Guararapes,BR,66.58,55,clear sky,-21.2608,-50.6428,Hotel Nacional Business
La Ligua,CL,56.7,96,scattered clouds,-32.4524,-71.2311,Hotel Anchimallen
Zhaotong,CN,59.25,43,few clouds,27.3167,103.7167,Jingguan Home
Santiago Del Estero,AR,80.17,27,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
Port Lincoln,AU,58.17,73,light rain,-34.7333,135.8667,Port Lincoln Hotel
Jiexiu,CN,57.16,34,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
Fortuna,US,40.35,100,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Vilhena,BR,70.16,90,overcast clouds,-12.7406,-60.1458,Hotel Mirage
Cabedelo,BR,74.07,79,few clouds,-6.9811,-34.8339,Pousada Camboinha
Villarrica,PY,62.26,70,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
Malanville,BJ,73.24,34,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
Isla Aguada,MX,76.86,80,light rain,18.7833,-91.4667,Freedom Shores
Sungaipenuh,ID,74.28,74,light rain,-2.0833,101.3833,Penginapan Citra Alam
Manhattan,US,35.65,55,clear sky,40.7834,-73.9662,The Mark Hotel
Midyat,TR,49.28,63,overcast clouds,37.4247,41.3393,Hotel Kasr-i Nehroz
Progreso,MX,73.11,86,clear sky,21.2833,-89.6667,Playa Linda Hotel
Kulhudhuffushi,MV,82.2,73,overcast clouds,6.6221,73.07,Haajy Guest House 1
Sola,VU,83.07,79,few clouds,-13.8833,167.55,Leumerus Bungalows
Urucara,BR,75.58,76,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
Sabha,LY,64.94,21,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
Coihaique,CL,48.15,53,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
Anau,PF,77.43,81,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
Molina,CL,60.53,72,overcast clouds,-35.1167,-71.2833,Hostal Pucará
Vestmanna,FO,47.32,81,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
Kavaratti,IN,81.97,55,scattered clouds,10.5669,72.642,Green leaf
Wanning,CN,80.51,78,overcast clouds,18.8003,110.3967,Paradise Hotel
Rio Grande,BR,67.28,82,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
Toktogul,KG,41.14,91,overcast clouds,41.8708,72.9402,KAGAN
Tiarei,PF,73.42,85,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
Numaligarh,IN,75.83,50,clear sky,26.6333,93.75,Mumai Hotel
Guiratinga,BR,72.32,64,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
Marystown,CA,36.72,63,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
Cerro Largo,BR,65.73,62,clear sky,-28.1486,-54.7381,Hotel Missões
Morondava,MG,83.32,55,clear sky,-20.2833,44.2833,La Case Bambou
Manado,ID,81.37,89,light rain,1.487,124.8455,Aryaduta Hotel
Port Hueneme,US,65.7,29,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
Nhulunbuy,AU,88.41,62,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
Kamaishi,JP,50.54,60,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
Adelaide,AU,65.48,79,broken clouds,-34.9333,138.6,The Chancellor on Currie
Lazaro Cardenas,MX,74.88,86,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Dengzhou,CN,56.89,76,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
Hofn,IS,43.45,80,clear sky,64.2539,-15.2082,Hótel Höfn
Caravelas,BR,72.81,85,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
Laibin,CN,75.56,60,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
Port Keats,AU,88.74,59,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
Barreiras,BR,69.39,94,overcast clouds,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
Los Llanos De Aridane,ES,65.95,76,overcast clouds,28.6585,-17.9182,Valle Aridane
Mendi,PG,63.19,94,light rain,-6.1761,143.6513,Kiburu Lodge
Monrovia,LR,75.69,85,broken clouds,6.3005,-10.7969,Sunset Inn
Saint-Leu,RE,77.86,62,clear sky,-21.15,55.2833,La Caz Oceane
