City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Kawhia,NZ,2022-08-03 05:35:43,-38.0651,174.8183,55.22,92,99,5.41
164,Camopi,GF,2022-08-03 05:35:43,3.1655,-52.3158,70.81,100,82,1.74
165,Alta Floresta,BR,2022-08-03 05:35:44,-9.8756,-56.0861,69.71,43,79,3.44
166,Awbari,LY,2022-08-03 05:35:44,26.5921,12.7805,85.5,25,3,8.16
167,Touros,BR,2022-08-03 05:35:45,-5.1989,-35.4608,74.97,87,10,7.76
168,Bani Walid,LY,2022-08-03 05:35:45,31.7566,13.9942,76.03,69,0,2.26
169,Bogorodskoye,RU,2022-08-03 05:35:45,56.55,37.8833,72.16,55,73,3.47
170,Tezu,IN,2022-08-03 05:35:46,27.9167,96.1667,90.75,65,99,2.53
171,Khatanga,RU,2022-08-03 05:35:46,71.9667,102.5,53.58,49,99,7.65
172,Ostrovnoy,RU,2022-08-03 05:35:47,68.0531,39.5131,51.6,99,100,6.49
173,Manali,IN,2022-08-03 05:35:47,13.1667,80.2667,82.49,89,98,2.84
174,Raudeberg,NO,2022-08-03 05:35:48,61.9875,5.1352,60.96,71,100,15.14
175,Cajati,BR,2022-08-03 05:35:48,-24.7361,-48.1228,60.84,99,26,1.48
176,Koslan,RU,2022-08-03 05:35:49,63.4564,48.8989,72.01,53,100,9.44
177,Tabou,CI,2022-08-03 05:35:49,4.423,-7.3528,74.41,80,100,7.34
178,Romitan,UZ,2022-08-03 05:35:49,39.9343,64.3814,89.55,31,0,2.3
179,Dwarka,IN,2022-08-03 05:35:50,22.2394,68.9678,82.92,76,98,10.04
180,Bilma,NE,2022-08-03 05:35:50,18.6853,12.9164,87.21,46,37,7.27
181,Yashalta,RU,2022-08-03 05:35:51,46.3395,42.2762,81.46,49,49,5.61
182,Rancho Palos Verdes,US,2022-08-03 05:33:28,33.7445,-118.387,72.59,87,5,5.99
183,Sibu,MY,2022-08-03 05:36:51,2.3,111.8167,88.11,62,40,3.44
184,Buala,SB,2022-08-03 05:36:52,-8.145,159.5921,83.46,75,27,11.68
185,Pangody,RU,2022-08-03 05:36:52,65.85,74.4859,70.66,41,23,4.63
186,Yakeshi,CN,2022-08-03 05:36:52,49.2833,120.7333,86.74,45,63,4.72
187,Chauk,MM,2022-08-03 05:36:53,20.8833,94.8167,96.12,43,98,10.11
188,Zharkent,KZ,2022-08-03 05:36:53,44.1628,80.0,88.74,19,100,5.48
189,Alice Springs,AU,2022-08-03 05:36:54,-23.7,133.8833,87.35,14,16,23.02
190,Mnogovershinnyy,RU,2022-08-03 05:36:54,53.9353,139.9242,61.68,87,97,0.76
191,Waddan,LY,2022-08-03 05:36:55,29.1614,16.139,78.26,55,0,5.93
192,Molina,CL,2022-08-03 05:36:55,-35.1167,-71.2833,35.33,100,0,2.3
193,Cherskiy,RU,2022-08-03 05:36:55,68.75,161.3,47.73,87,100,9.35
194,Imbituba,BR,2022-08-03 05:36:56,-28.24,-48.6703,63.09,96,24,4.0
195,Linqiong,CN,2022-08-03 05:36:56,30.4159,103.4609,87.62,64,17,4.45
196,La Cumbre,AR,2022-08-03 05:36:57,-30.982,-64.4914,54.18,62,97,4.5
197,Sudislavl,RU,2022-08-03 05:36:57,57.8817,41.7083,71.11,57,82,3.96
198,San Onofre,CO,2022-08-03 05:36:57,9.7359,-75.5263,77.29,91,99,3.04
199,Mogadishu,SO,2022-08-03 05:36:58,2.0371,45.3438,78.67,78,75,16.11
200,Inhambane,MZ,2022-08-03 05:36:58,-23.865,35.3833,60.78,94,20,4.61
201,Atar,MR,2022-08-03 05:36:59,20.5169,-13.0499,80.47,57,4,9.28
202,Kampot,KH,2022-08-03 05:36:59,10.6167,104.1833,78.85,65,98,10.0
203,Yellowknife,CA,2022-08-03 05:33:31,62.456,-114.3525,57.72,62,20,4.61
204,Gornopravdinsk,RU,2022-08-03 05:37:00,60.05,69.9,72.97,40,9,4.92
205,Chokurdakh,RU,2022-08-03 05:37:00,70.6333,147.9167,57.6,44,100,5.44
206,Chapais,CA,2022-08-03 05:32:45,49.7834,-74.8492,53.38,76,4,1.61
207,Mount Isa,AU,2022-08-03 05:37:01,-20.7333,139.5,89.37,25,9,6.91
208,Yevlax,AZ,2022-08-03 05:37:01,40.6089,47.1492,80.58,69,40,2.3
209,Bowen,AU,2022-08-03 05:37:02,-20.0167,148.2333,71.26,76,2,15.79
210,Vostok,RU,2022-08-03 05:37:02,46.4856,135.8833,75.81,80,28,4.92
211,Portland,US,2022-08-03 05:36:33,45.5234,-122.6762,75.99,56,0,6.91
212,Saldanha,ZA,2022-08-03 05:37:03,-33.0117,17.9442,50.05,88,12,6.69
213,Gorontalo,ID,2022-08-03 05:37:03,0.5412,123.0595,85.37,70,45,8.43
214,Fortuna,US,2022-08-03 05:33:07,40.5982,-124.1573,60.35,91,100,0.0
215,Altay,CN,2022-08-03 05:37:04,47.8667,88.1167,82.15,28,4,10.31
216,Narsaq,GL,2022-08-03 05:37:05,60.9167,-46.05,43.02,76,44,4.23
217,Henderson,US,2022-08-03 05:36:32,36.0397,-114.9819,96.82,33,0,9.22
218,Upernavik,GL,2022-08-03 05:37:06,72.7868,-56.1549,44.22,80,94,4.76
219,Kaitangata,NZ,2022-08-03 05:37:06,-46.2817,169.8464,46.56,82,24,7.54
220,Bundaberg,AU,2022-08-03 05:37:07,-24.85,152.35,73.22,62,23,3.0
221,Aswan,EG,2022-08-03 05:37:07,24.0934,32.907,88.9,19,0,5.75
222,Quatre Cocos,MU,2022-08-03 05:37:08,-20.2078,57.7625,73.09,66,21,12.59
223,Vao,NC,2022-08-03 05:37:08,-22.6667,167.4833,72.05,84,89,11.7
224,Roald,NO,2022-08-03 05:37:09,62.5833,6.1333,62.1,82,75,12.66
225,Ulaangom,MN,2022-08-03 05:37:09,49.9811,92.0667,75.72,40,36,7.58
226,Sampit,ID,2022-08-03 05:37:10,-2.5333,112.95,91.94,50,75,2.84
227,Dingle,PH,2022-08-03 05:37:10,10.9995,122.6711,87.4,68,93,6.46
228,Takoradi,GH,2022-08-03 05:37:11,4.8845,-1.7554,71.64,81,26,6.82
229,Sao Jose Da Coroa Grande,BR,2022-08-03 05:38:11,-8.8978,-35.1478,74.48,87,63,3.6
230,Ostersund,SE,2022-08-03 05:38:12,63.1792,14.6357,58.6,88,0,10.36
231,Mago,RU,2022-08-03 05:38:12,53.2514,140.1822,70.32,77,93,1.5
232,Chalus,IR,2022-08-03 05:38:13,36.655,51.4204,85.46,70,75,4.61
233,Constitucion,CL,2022-08-03 05:38:13,-35.3333,-72.4167,45.46,72,0,5.21
234,Kulhudhuffushi,MV,2022-08-03 05:38:14,6.6221,73.07,80.67,80,99,23.38
235,Hatillo,PR,2022-08-03 05:38:14,18.4863,-66.8254,80.08,91,7,1.99
236,Tigzirt,DZ,2022-08-03 05:38:15,36.8886,4.1198,77.49,49,18,5.39
237,Takaka,NZ,2022-08-03 05:38:15,-40.85,172.8,55.56,83,1,7.74
238,Launceston,AU,2022-08-03 05:37:26,-41.45,147.1667,53.24,90,100,20.71
239,Saint Anthony,US,2022-08-03 05:38:16,45.0205,-93.218,87.73,73,75,35.68
240,Amapa,BR,2022-08-03 05:38:16,1.0,-52.0,70.47,99,98,1.81
241,Frutal,BR,2022-08-03 05:38:17,-20.0247,-48.9406,72.41,45,64,6.26
242,Sao Joao Da Barra,BR,2022-08-03 05:38:17,-21.6403,-41.0511,69.91,93,5,3.49
243,Ulladulla,AU,2022-08-03 05:37:14,-35.35,150.4667,76.1,59,31,5.99
244,Acambay,MX,2022-08-03 05:38:18,19.9558,-99.8417,51.91,92,99,2.62
245,Victoria,HK,2022-08-03 05:36:06,22.2855,114.1577,89.26,78,100,3.0
246,Lugoba,TZ,2022-08-03 05:38:18,-6.45,38.3333,74.12,67,0,4.92
247,Adrar,MR,2022-08-03 05:38:19,20.5022,-10.0711,87.69,40,24,13.2
248,Peniche,PT,2022-08-03 05:38:19,39.3558,-9.3811,67.28,95,100,15.84
249,Along,IN,2022-08-03 05:38:20,28.1667,94.7667,89.33,66,100,3.71
250,Bathsheba,BB,2022-08-03 05:38:20,13.2167,-59.5167,83.01,74,20,20.71
251,San Quintin,MX,2022-08-03 05:38:20,30.4833,-115.95,69.96,85,93,11.23
252,Subang,ID,2022-08-03 05:38:21,-7.1277,108.5283,86.56,56,69,4.94
253,Buraydah,SA,2022-08-03 05:38:21,26.326,43.975,95.45,21,83,7.63
254,Canakkale,TR,2022-08-03 05:37:15,40.0833,26.8333,70.38,65,16,18.12
255,La Macarena,CO,2022-08-03 05:38:22,2.1837,-73.7849,71.1,97,89,1.7
256,Camacha,PT,2022-08-03 05:38:23,33.0833,-16.3333,65.62,77,75,11.5
257,Mahajanga,MG,2022-08-03 05:38:23,-15.7167,46.3167,75.22,50,0,10.36
258,Escanaba,US,2022-08-03 05:38:23,45.7453,-87.0646,70.11,100,100,8.05
259,Ucluelet,CA,2022-08-03 05:33:28,48.9329,-125.5528,59.09,88,22,4.61
260,Krasnoselkup,RU,2022-08-03 05:38:24,65.7,82.4667,64.58,40,26,14.27
261,Margate,GB,2022-08-03 05:35:43,51.3813,1.3862,65.89,95,40,3.0
262,Luangwa,ZM,2022-08-03 05:34:15,-15.6167,30.4167,67.26,71,80,7.72
263,Birao,CF,2022-08-03 05:38:25,10.2849,22.7882,72.84,92,91,5.21
264,Bonnyville,CA,2022-08-03 05:38:25,54.2668,-110.735,55.2,92,43,5.64
265,Rosetta,EG,2022-08-03 05:38:26,31.4044,30.4164,81.0,65,0,12.75
266,Aloleng,PH,2022-08-03 05:38:26,16.1307,119.7824,85.08,69,100,6.46
267,Mwinilunga,ZM,2022-08-03 05:38:27,-11.7358,24.4293,61.56,52,78,8.05
268,Severo-Yeniseyskiy,RU,2022-08-03 05:38:27,60.3725,93.0408,49.39,90,100,3.58
269,Morehead,US,2022-08-03 05:36:09,37.2711,-87.1764,76.78,96,40,0.0
270,Saryozek,KZ,2022-08-03 05:38:27,44.3583,77.9753,79.61,33,85,12.71
271,Mayumba,GA,2022-08-03 05:38:28,-3.432,10.6554,70.11,93,81,8.23
272,Lixourion,GR,2022-08-03 05:38:28,38.2019,20.4314,75.2,88,20,2.3
273,Bossangoa,CF,2022-08-03 05:38:29,6.4926,17.4552,69.73,96,98,0.76
274,Mladenovac,RS,2022-08-03 05:38:29,44.4386,20.6992,71.85,47,39,5.19
275,Dawlatabad,AF,2022-08-03 05:39:30,36.4141,64.9053,93.9,17,0,10.36
276,Trincomalee,LK,2022-08-03 05:39:30,8.5711,81.2335,81.97,74,100,24.76
277,Bairiki,KI,2022-08-03 05:39:31,1.3292,172.9752,84.2,74,20,13.8
278,Chuy,UY,2022-08-03 05:39:32,-33.6971,-53.4616,54.81,96,94,4.47
279,Vestmannaeyjar,IS,2022-08-03 05:39:33,63.4427,-20.2734,47.39,76,40,17.27
280,Teguise,ES,2022-08-03 05:39:33,29.0605,-13.564,68.22,88,0,17.27
281,Nauta,PE,2022-08-03 05:39:34,-4.5061,-73.5757,76.15,82,95,2.51
282,Dubti,ET,2022-08-03 05:39:34,11.7361,41.0853,85.87,50,11,11.25
283,Kota Tinggi,MY,2022-08-03 05:39:35,1.7381,103.8999,84.43,74,100,7.4
284,Vila,PT,2022-08-03 05:39:35,42.0304,-8.1588,56.7,92,1,4.16
285,Kashi,CN,2022-08-03 05:39:36,39.4547,75.9797,65.41,82,75,8.95
286,Sulphur,US,2022-08-03 05:39:35,30.2366,-93.3774,85.98,86,0,5.75
287,General Roca,AR,2022-08-03 05:39:36,-39.0333,-67.5833,43.36,42,0,2.91
288,Sicamous,CA,2022-08-03 05:38:43,50.8331,-118.9856,70.77,56,22,3.09
289,Dhidhdhoo,MV,2022-08-03 05:39:37,6.8833,73.1,80.1,79,98,24.52
290,Muros,ES,2022-08-03 05:39:38,42.7762,-9.0603,70.09,77,35,10.69
291,Hasaki,JP,2022-08-03 05:39:38,35.7333,140.8333,99.0,77,100,8.66
292,Bosaso,SO,2022-08-03 05:39:39,11.2842,49.1816,91.38,66,0,4.61
293,Ternate,ID,2022-08-03 05:39:39,0.8,127.4,81.75,77,69,5.88
294,Machico,PT,2022-08-03 05:39:40,32.7,-16.7667,70.72,69,20,24.16
